condition,episode,agent,viability,success,goal_ok,role_ok,battery_ok,tool_ok,self_error,repair_cost,repairs,contradictions,gated,mean_reliability
control,49,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,49,MemoryOnly,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,49,PersistentSelf,122.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,16,0,0.0
control,49,MirrorNeuroSymbolic,78.69999999999999,0.0,1.0,0.0,1.0,1.0,1.0,6.0,3,9,8,0.6561127268604487
control,50,NeuralOnly,-28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.0
control,50,MemoryOnly,123.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5,0,0.0
control,50,PersistentSelf,123.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,5,0,0.0
control,50,MirrorNeuroSymbolic,119.60000000000001,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,3,2,0.7443060983376949
control,51,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,51,MemoryOnly,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,51,PersistentSelf,123.3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,7,0,0.0
control,51,MirrorNeuroSymbolic,119.75,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,2,1,0.7680323422330015
control,52,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,52,MemoryOnly,122.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,14,0,0.0
control,52,PersistentSelf,122.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,14,0,0.0
control,52,MirrorNeuroSymbolic,121.55,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1,3,3,0.6980086618154987
control,53,NeuralOnly,124.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0
control,53,MemoryOnly,122.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,14,0,0.0
