agent,condition,seed,survived,completed,survival_time,resources_collected,final_energy,damage,repair_spend,repair_count,relocalizations,calibrations,map_checks,unnecessary_repairs,contradictions,mean_self_error,viability
B_passive_reliability,control,13592,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,2,0.3125,170.2
B_passive_reliability,control,13609,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.03571428571428571,169.8
B_passive_reliability,control,13626,1,1,35,4,125.0,0.0,0.0,0,0,0,0,0,0,0.08571428571428572,175.75
B_passive_reliability,control,13643,1,1,40,4,120.0,0.0,0.0,0,0,0,0,0,1,0.05,178.5
B_passive_reliability,control,13660,1,1,25,4,135.0,0.0,0.0,0,0,0,0,0,0,0.04,167.25
B_passive_reliability,control,13677,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.043478260869565216,165.55
B_passive_reliability,control,13694,1,1,27,4,133.0,0.0,0.0,0,0,0,0,0,0,0.037037037037037035,168.95
B_passive_reliability,control,13711,1,1,23,4,137.0,0.0,0.0,0,0,0,0,0,0,0.043478260869565216,165.55
B_passive_reliability,control,13728,1,1,32,4,128.0,0.0,0.0,0,0,0,0,0,0,0.0625,173.2
B_passive_reliability,control,13745,1,1,24,4,136.0,0.0,0.0,0,0,0,0,0,0,0.041666666666666664,166.4
B_passive_reliability,control,13762,1,1,31,4,119.0,1.0,0.0,0,0,0,0,0,0,0.06451612903225806,156.85
B_passive_reliability,control,13779,1,1,34,4,126.0,0.0,0.0,0,0,0,0,0,0,0.0,174.9
B_passive_reliability,control,13796,1,1,24,4,126.0,1.0,0.0,0,0,0,0,0,2,0.2916666666666667,147.9
B_passive_reliability,control,13813,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,0,0.14285714285714285,163.85
B_passive_reliability,control,13830,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,0,0.0,164.7
B_passive_reliability,control,13847,1,1,29,4,131.0,0.0,0.0,0,0,0,0,0,0,0.06896551724137931,170.65
B_passive_reliability,control,13864,1,1,30,4,130.0,0.0,0.0,0,0,0,0,0,0,0.03333333333333333,171.5
B_passive_reliability,control,13881,1,1,21,4,139.0,0.0,0.0,0,0,0,0,0,2,0.42857142857142855,160.85
B_passive_reliability,control,13898,1,1,38,4,112.0,1.0,0.0,0,0,0,0,0,0,0.07894736842105263,162.8
B_passive_reliability,control,13915,1,1,33,4,127.0,0.0,0.0,0,0,0,0,0,0,0.06060606060606061,174.05
B_passive_reliability,control,13932,1,0,90,3,38.0,1.0,0.0,0,0,0,0,0,63,2.911111111111111,65.19999999999999
B_passive_reliability,control,13949,1,1,22,4,138.0,0.0,0.0,0,0,0,0,0,2,0.22727272727272727,161.7
B_passive_reliability,control,13966,1,1,28,4,132.0,0.0,0.0,0,0,0,0,0,0,0.0,169.8
B_passive_reliability,control,13983,1,1,49,4,101.0,1.0,0.0,0,0,0,0,0,0,0.02040816326530612,172.15
B_passive_reliability,control,14000,1,1,17,4,143.0,0.0,0.0,0,0,0,0,0,0,0.058823529411764705,160.45
