agent,perturb_rate,repair_cost,threshold,viability_mean,viability_sem,survival_rate,success_rate,mean_steps,mean_hazard_hits,mean_repairs,mean_self_error,mean_reliability,n,baseline_viability,baseline_survival,baseline_success,baseline_self_error,baseline_hazard_hits,delta_viability,delta_survival
mirror,0.08,4,0.65,88.81666666666666,7.35094909241663,0.7222222222222222,0.7222222222222222,31.455555555555556,0.9,1.1333333333333333,0.8743123461938986,0.9664542887277765,90,61.205555555555556,0.43333333333333335,0.43333333333333335,1.4662997085653529,0.7777777777777778,27.611111111111107,0.28888888888888886
mirror,0.08,4,0.8,99.58555555555556,6.55150277928233,0.8222222222222222,0.8222222222222222,28.711111111111112,0.7666666666666667,1.211111111111111,0.79941802057016,0.9832276671557486,90,61.205555555555556,0.43333333333333335,0.43333333333333335,1.4662997085653529,0.7777777777777778,38.38,0.38888888888888884
mirror,0.08,6,0.35,62.45,7.223474226445669,0.4888888888888889,0.4888888888888889,32.977777777777774,0.9444444444444444,0.4444444444444444,1.2470295805085585,0.8970169465618553,90,58.784444444444446,0.4444444444444444,0.4444444444444444,1.5980202167692363,0.8888888888888888,3.6655555555555566,0.04444444444444445
mirror,0.08,6,0.5,69.73333333333333,7.552191106682893,0.5888888888888889,0.5666666666666667,31.033333333333335,0.9333333333333333,0.7555555555555555,1.0379896695273911,0.9396613396504715,90,58.784444444444446,0.4444444444444444,0.4444444444444444,1.5980202167692363,0.8888888888888888,10.948888888888888,0.1444444444444445
mirror,0.08,6,0.65,73.55666666666667,8.10735490899926,0.6444444444444445,0.6444444444444445,29.344444444444445,1.0,1.0888888888888888,0.9173540838545676,0.9642539673403577,90,58.784444444444446,0.4444444444444444,0.4444444444444444,1.5980202167692363,0.8888888888888888,14.772222222222226,0.20000000000000007
mirror,0.08,6,0.8,77.37444444444445,8.023733608893972,0.6777777777777778,0.6777777777777778,28.7,0.9888888888888889,1.2333333333333334,0.8465348791315972,0.9755056579020057,90,58.784444444444446,0.4444444444444444,0.4444444444444444,1.5980202167692363,0.8888888888888888,18.590000000000003,0.2333333333333334
mirror,0.08,8,0.35,47.34888888888889,7.796599701311015,0.3888888888888889,0.3888888888888889,34.0,1.0444444444444445,0.5222222222222223,1.4978352750864072,0.8776850283267308,90,48.165555555555564,0.35555555555555557,0.34444444444444444,1.821268043475824,0.9888888888888889,-0.8166666666666771,0.033333333333333326
mirror,0.08,8,0.5,50.70777777777778,8.18345613884952,0.4666666666666667,0.4666666666666667,30.644444444444446,1.0666666666666667,0.8777777777777778,1.3063442599237338,0.9299425039416039,90,48.165555555555564,0.35555555555555557,0.34444444444444444,1.821268043475824,0.9888888888888889,2.5422222222222146,0.1111111111111111
mirror,0.08,8,0.65,62.97,8.337558546831781,0.5666666666666667,0.5666666666666667,30.522222222222222,1.011111111111111,1.1666666666666667,1.1076762813499366,0.9622889817129946,90,48.165555555555564,0.35555555555555557,0.34444444444444444,1.821268043475824,0.9888888888888889,14.804444444444435,0.21111111111111108
mirror,0.08,8,0.8,65.17111111111112,8.195730633100883,0.5777777777777777,0.5777777777777777,31.07777777777778,1.0444444444444445,1.1888888888888889,1.0851800124207336,0.9679167992039481,90,48.165555555555564,0.35555555555555557,0.34444444444444444,1.821268043475824,0.9888888888888889,17.005555555555553,0.22222222222222215
mirror,0.08,10,0.35,46.471111111111114,7.62430001198603,0.3888888888888889,0.3888888888888889,33.9,1.0,0.5444444444444444,1.414682993926151,0.8666778329426204,90,50.471111111111114,0.35555555555555557,0.34444444444444444,1.7417876512916608,0.9333333333333333,-4.0,0.033333333333333326
mirror,0.08,10,0.5,48.81555555555556,8.137171979134108,0.4444444444444444,0.4444444444444444,32.22222222222222,1.0444444444444445,0.8888888888888888,1.1230360822600638,0.9321273232196348,90,50.471111111111114,0.35555555555555557,0.34444444444444444,1.7417876512916608,0.9333333333333333,-1.6555555555555515,0.08888888888888885
mirror,0.08,10,0.65,49.64,8.452590528453266,0.4777777777777778,0.4777777777777778,30.18888888888889,1.0222222222222221,1.0555555555555556,1.0619931484053378,0.9522022921517274,90,50.471111111111114,0.35555555555555557,0.34444444444444444,1.7417876512916608,0.9333333333333333,-0.8311111111111131,0.12222222222222223
mirror,0.08,10,0.8,49.64,8.452590528453266,0.4777777777777778,0.4777777777777778,30.18888888888889,1.0222222222222221,1.0555555555555556,1.0619931484053378,0.9522022921517274,90,50.471111111111114,0.35555555555555557,0.34444444444444444,1.7417876512916608,0.9333333333333333,-0.8311111111111131,0.12222222222222223
mirror,0.08,12,0.35,48.96000000000001,7.9297084848172235,0.4222222222222222,0.4111111111111111,32.13333333333333,0.9111111111111111,0.5111111111111111,1.4511166833706508,0.8955584508936633,90,49.72555555555556,0.37777777777777777,0.35555555555555557,1.8179474414446866,0.9666666666666667,-0.7655555555555509,0.04444444444444445
mirror,0.08,12,0.5,50.36333333333333,7.733408150548584,0.45555555555555555,0.45555555555555555,30.122222222222224,0.8333333333333334,0.7777777777777778,1.29235269536295,0.9293734195222423,90,49.72555555555556,0.37777777777777777,0.35555555555555557,1.8179474414446866,0.9666666666666667,0.6377777777777709,0.07777777777777778
mirror,0.08,12,0.65,50.36333333333333,7.733408150548584,0.45555555555555555,0.45555555555555555,30.122222222222224,0.8333333333333334,0.7777777777777778,1.29235269536295,0.9293734195222423,90,49.72555555555556,0.37777777777777777,0.35555555555555557,1.8179474414446866,0.9666666666666667,0.6377777777777709,0.07777777777777778
mirror,0.08,12,0.8,50.36333333333333,7.733408150548584,0.45555555555555555,0.45555555555555555,30.122222222222224,0.8333333333333334,0.7777777777777778,1.29235269536295,0.9293734195222423,90,49.72555555555556,0.37777777777777777,0.35555555555555557,1.8179474414446866,0.9666666666666667,0.6377777777777709,0.07777777777777778
mirror,0.08,15,0.35,42.57222222222222,7.494152823119776,0.36666666666666664,0.36666666666666664,31.466666666666665,0.8555555555555555,0.4,1.6527449705685544,0.8795247139772411,90,51.99444444444445,0.3888888888888889,0.37777777777777777,1.8791547397985853,0.9111111111111111,-9.422222222222224,-0.022222222222222254
mirror,0.08,15,0.5,39.409444444444446,7.599805704792034,0.36666666666666664,0.36666666666666664,30.844444444444445,0.8666666666666667,0.5222222222222223,1.619389112972725,0.8882588555186639,90,51.99444444444445,0.3888888888888889,0.37777777777777777,1.8791547397985853,0.9111111111111111,-12.585,-0.022222222222222254
mirror,0.08,15,0.65,39.409444444444446,7.599805704792034,0.36666666666666664,0.36666666666666664,30.844444444444445,0.8666666666666667,0.5222222222222223,1.619389112972725,0.8882588555186639,90,51.99444444444445,0.3888888888888889,0.37777777777777777,1.8791547397985853,0.9111111111111111,-12.585,-0.022222222222222254
mirror,0.08,15,0.8,39.409444444444446,7.599805704792034,0.36666666666666664,0.36666666666666664,30.844444444444445,0.8666666666666667,0.5222222222222223,1.619389112972725,0.8882588555186639,90,51.99444444444445,0.3888888888888889,0.37777777777777777,1.8791547397985853,0.9111111111111111,-12.585,-0.022222222222222254
mirror,0.12,0,0.35,44.714444444444446,7.451547956236855,0.3888888888888889,0.35555555555555557,37.111111111111114,1.3888888888888888,0.6555555555555556,2.179092894789128,0.8610909935198268,90,32.31111111111111,0.26666666666666666,0.26666666666666666,2.4937558217653333,1.3333333333333333,12.403333333333336,0.12222222222222223
mirror,0.12,0,0.5,58.87666666666667,7.943243589780674,0.5111111111111111,0.45555555555555555,37.455555555555556,1.4,1.1777777777777778,1.9423122423787327,0.9141759760941878,90,32.31111111111111,0.26666666666666666,0.26666666666666666,2.4937558217653333,1.3333333333333333,26.565555555555562,0.2444444444444444
